label,group,buffer_time,buffer_items,buffer_rate,stm_half_life,stm_rate,ltm_rate,noise,order_bound,only_learn_from_buffer,include
"L1, no decay",Original PPM,0,0,0,999999,1,1,0,1,FALSE,TRUE
"L5, no decay",Original PPM,0,0,0,999999,1,1,0,5,FALSE,TRUE
"L10, no decay",Original PPM,0,0,0,999999,1,1,0,10,FALSE,TRUE
L1 + exp. decay,`+ Exponential decay,0,0,0,0.5,1,0,0,1,FALSE,TRUE
L5 + exp.decay,`+ Exponential decay,0,0,0,0.5,1,0,0,5,FALSE,TRUE
L10 + exp.decay,`+ Exponential decay,0,0,0,0.5,1,0,0,10,FALSE,TRUE
L1 + retrieval noise,`+ Retrieval noise,0,0,0,3.85,0.65,0,0.5,1,FALSE,TRUE
L5 + retrieval noise,`+ Retrieval noise,0,0,0,1.65,0.65,0,0.5,5,FALSE,TRUE
L10 + retrieval noise,`+ Retrieval noise,0,0,0,0.7,2.25,0,0.5,10,FALSE,TRUE
L1 + buffer,`+ Buffer,1000,15,0.7,5.5,0.5,0,0.5,1,TRUE,TRUE
L5 + buffer,`+ Buffer,1000,15,0.68,2.1,0.375,0,0.5,5,TRUE,TRUE
L10 + buffer,`+ Buffer,1000,15,2.5,1.75,0.45,0,0.5,10,TRUE,TRUE
