group,alphabet_size,tone_len_ms,n,min_lag,max_lag,n_lag_too_small,prop_lag_too_small,n_lag_too_big,prop_lag_too_big
Original PPM,10,25,742,4,7,0,0,0,0
Original PPM,10,50,760,3,7,0,0,0,0
Original PPM,10,75,739,3,7,0,0,0,0
Original PPM,20,25,753,4,7,0,0,0,0
Original PPM,20,50,749,4,7,0,0,0,0
Original PPM,20,75,696,3,7,0,0,0,0
+ Exponential decay,10,25,742,3,7,0,0,0,0
+ Exponential decay,10,50,760,4,7,0,0,0,0
+ Exponential decay,10,75,739,4,8,0,0,0,0
+ Exponential decay,20,25,753,4,7,0,0,0,0
+ Exponential decay,20,50,749,5,10,0,0,0,0
+ Exponential decay,20,75,696,11,39,0,0,0,0
+ Retrieval noise,10,25,742,-79,13,5,0.006738544474393531,0,0
+ Retrieval noise,10,50,760,-77,15,4,0.005263157894736842,0,0
+ Retrieval noise,10,75,739,-67,18,3,0.0040595399188092015,0,0
+ Retrieval noise,20,25,753,-75,17,5,0.006640106241699867,0,0
+ Retrieval noise,20,50,749,-80,24,2,0.0026702269692923898,0,0
+ Retrieval noise,20,75,696,-70,33,3,0.004310344827586207,0,0
5-item buffer,10,25,742,-83,12,7,0.009433962264150943,0,0
5-item buffer,10,50,760,-35,14,2,0.002631578947368421,0,0
5-item buffer,10,75,739,-43,15,3,0.0040595399188092015,0,0
5-item buffer,20,25,753,-97,16,6,0.00796812749003984,0,0
5-item buffer,20,50,749,-80,23,2,0.0026702269692923898,0,0
5-item buffer,20,75,696,-70,31,5,0.007183908045977011,0,0
10-item buffer,10,25,742,-66,14,4,0.005390835579514825,0,0
10-item buffer,10,50,760,-38,13,3,0.003947368421052632,0,0
10-item buffer,10,75,739,-18,14,1,0.0013531799729364006,0,0
10-item buffer,20,25,753,-30,20,2,0.0026560424966799467,0,0
10-item buffer,20,50,749,-4,26,1,0.0013351134846461949,0,0
10-item buffer,20,75,696,-53,31,4,0.005747126436781609,0,0
15-item buffer,10,25,742,-80,13,4,0.005390835579514825,0,0
15-item buffer,10,50,760,-61,13,3,0.003947368421052632,0,0
15-item buffer,10,75,739,-57,14,3,0.0040595399188092015,0,0
15-item buffer,20,25,753,-73,26,7,0.009296148738379814,0,0
15-item buffer,20,50,749,-81,28,3,0.004005340453938585,0,0
15-item buffer,20,75,696,-51,30,2,0.0028735632183908046,0,0
